unique_id,ds,y
dengue_cali,2009-12-28,12
dengue_cali,2010-01-04,142
dengue_cali,2010-01-11,210
dengue_cali,2010-01-18,253
dengue_cali,2010-01-25,345
dengue_cali,2010-02-01,375
dengue_cali,2010-02-08,504
dengue_cali,2010-02-15,573
dengue_cali,2010-02-22,543
dengue_cali,2010-03-01,475
dengue_cali,2010-03-08,451
dengue_cali,2010-03-15,439
dengue_cali,2010-03-22,384
dengue_cali,2010-03-29,304
dengue_cali,2010-04-05,330
dengue_cali,2010-04-12,308
dengue_cali,2010-04-19,293
dengue_cali,2010-04-26,211
dengue_cali,2010-05-03,227
dengue_cali,2010-05-10,234
dengue_cali,2010-05-17,198
dengue_cali,2010-05-24,211
dengue_cali,2010-05-31,208
dengue_cali,2010-06-07,236
dengue_cali,2010-06-14,195
dengue_cali,2010-06-21,204
dengue_cali,2010-06-28,150
dengue_cali,2010-07-05,170
dengue_cali,2010-07-12,171
dengue_cali,2010-07-19,181
dengue_cali,2010-07-26,154
dengue_cali,2010-08-02,144
dengue_cali,2010-08-09,150
dengue_cali,2010-08-16,123
dengue_cali,2010-08-23,130
dengue_cali,2010-08-30,130
dengue_cali,2010-09-06,121
dengue_cali,2010-09-13,105
dengue_cali,2010-09-20,104
dengue_cali,2010-09-27,125
dengue_cali,2010-10-04,107
dengue_cali,2010-10-11,88
dengue_cali,2010-10-18,67
dengue_cali,2010-10-25,76
dengue_cali,2010-11-01,79
dengue_cali,2010-11-08,78
dengue_cali,2010-11-15,69
dengue_cali,2010-11-22,74
dengue_cali,2010-11-29,78
dengue_cali,2010-12-06,48
dengue_cali,2010-12-13,37
dengue_cali,2010-12-20,42
dengue_cali,2010-12-27,28
dengue_cali,2011-01-03,37
dengue_cali,2011-01-10,21
dengue_cali,2011-01-17,25
dengue_cali,2011-01-24,20
dengue_cali,2011-01-31,17
dengue_cali,2011-02-07,8
dengue_cali,2011-02-14,17
dengue_cali,2011-02-21,21
dengue_cali,2011-02-28,17
dengue_cali,2011-03-07,13
dengue_cali,2011-03-14,8
dengue_cali,2011-03-21,12
