unique_id,ds,y
Dengue,2010-01-03,12.0
Dengue,2010-01-10,142.0
Dengue,2010-01-17,210.0
Dengue,2010-01-24,253.0
Dengue,2010-01-31,345.0
Dengue,2010-02-07,375.0
Dengue,2010-02-14,504.0
Dengue,2010-02-21,573.0
Dengue,2010-02-28,543.0
Dengue,2010-03-07,475.0
Dengue,2010-03-14,451.0
Dengue,2010-03-21,439.0
Dengue,2010-03-28,384.0
Dengue,2010-04-04,304.0
Dengue,2010-04-11,330.0
Dengue,2010-04-18,308.0
Dengue,2010-04-25,293.0
Dengue,2010-05-02,211.0
Dengue,2010-05-09,227.0
Dengue,2010-05-16,234.0
Dengue,2010-05-23,198.0
Dengue,2010-05-30,211.0
Dengue,2010-06-06,208.0
Dengue,2010-06-13,236.0
Dengue,2010-06-20,195.0
Dengue,2010-06-27,204.0
Dengue,2010-07-04,150.0
Dengue,2010-07-11,170.0
Dengue,2010-07-18,171.0
Dengue,2010-07-25,181.0
Dengue,2010-08-01,154.0
Dengue,2010-08-08,144.0
Dengue,2010-08-15,150.0
Dengue,2010-08-22,123.0
Dengue,2010-08-29,130.0
Dengue,2010-09-05,130.0
Dengue,2010-09-12,121.0
Dengue,2010-09-19,105.0
Dengue,2010-09-26,104.0
Dengue,2010-10-03,125.0
Dengue,2010-10-10,107.0
Dengue,2010-10-17,88.0
Dengue,2010-10-24,67.0
Dengue,2010-10-31,76.0
Dengue,2010-11-07,79.0
Dengue,2010-11-14,78.0
Dengue,2010-11-21,69.0
Dengue,2010-11-28,74.0
Dengue,2010-12-05,78.0
Dengue,2010-12-12,48.0
Dengue,2010-12-19,37.0
Dengue,2010-12-26,42.0
Dengue,2011-01-02,28.0
Dengue,2011-01-09,37.0
Dengue,2011-01-16,21.0
Dengue,2011-01-23,25.0
Dengue,2011-01-30,20.0
Dengue,2011-02-06,17.0
Dengue,2011-02-13,8.0
Dengue,2011-02-20,17.0
Dengue,2011-02-27,21.0
Dengue,2011-03-06,17.0
Dengue,2011-03-13,13.0
Dengue,2011-03-20,8.0
Dengue,2011-03-27,12.0
Dengue,2011-04-03,10.0
Dengue,2011-04-10,7.0
Dengue,2011-04-17,7.0
Dengue,2011-04-24,6.0
Dengue,2011-05-01,8.0
Dengue,2011-05-08,16.0
Dengue,2011-05-15,7.0
Dengue,2011-05-22,9.0
Dengue,2011-05-29,10.0
Dengue,2011-06-05,9.0
Dengue,2011-06-12,10.0
Dengue,2011-06-19,13.0
Dengue,2011-06-26,11.0
Dengue,2011-07-03,6.0
Dengue,2011-07-10,10.0
Dengue,2011-07-17,4.0
Dengue,2011-07-24,9.0
Dengue,2011-07-31,14.0
Dengue,2011-08-07,15.0
Dengue,2011-08-14,15.0
Dengue,2011-08-21,16.0
Dengue,2011-08-28,14.0
Dengue,2011-09-04,15.0
Dengue,2011-09-11,9.0
Dengue,2011-09-18,12.0
Dengue,2011-09-25,15.0
Dengue,2011-10-02,6.0
Dengue,2011-10-09,8.0
Dengue,2011-10-16,12.0
Dengue,2011-10-23,8.0
Dengue,2011-10-30,11.0
Dengue,2011-11-06,10.0
Dengue,2011-11-13,6.0
Dengue,2011-11-20,11.0
Dengue,2011-11-27,10.0
Dengue,2011-12-04,5.0
Dengue,2011-12-11,7.0
Dengue,2011-12-18,10.0
Dengue,2011-12-25,9.0
Dengue,2012-01-01,8.0
Dengue,2012-01-08,20.0
Dengue,2012-01-15,17.0
Dengue,2012-01-22,11.0
Dengue,2012-01-29,27.0
Dengue,2012-02-05,14.0
Dengue,2012-02-12,20.0
Dengue,2012-02-19,22.0
Dengue,2012-02-26,20.0
Dengue,2012-03-04,32.0
Dengue,2012-03-11,40.0
Dengue,2012-03-18,29.0
Dengue,2012-03-25,35.0
Dengue,2012-04-01,28.0
Dengue,2012-04-08,19.0
Dengue,2012-04-15,13.0
Dengue,2012-04-22,18.0
Dengue,2012-04-29,18.0
Dengue,2012-05-06,16.0
Dengue,2012-05-13,12.0
Dengue,2012-05-20,17.0
Dengue,2012-05-27,11.0
Dengue,2012-06-03,17.0
Dengue,2012-06-10,9.0
Dengue,2012-06-17,20.0
Dengue,2012-06-24,17.0
Dengue,2012-07-01,19.0
Dengue,2012-07-08,18.0
Dengue,2012-07-15,15.0
Dengue,2012-07-22,15.0
Dengue,2012-07-29,19.0
Dengue,2012-08-05,20.0
Dengue,2012-08-12,16.0
Dengue,2012-08-19,15.0
Dengue,2012-08-26,14.0
Dengue,2012-09-02,18.0
Dengue,2012-09-09,20.0
Dengue,2012-09-16,19.0
Dengue,2012-09-23,23.0
Dengue,2012-09-30,18.0
Dengue,2012-10-07,19.0
Dengue,2012-10-14,20.0
Dengue,2012-10-21,14.0
Dengue,2012-10-28,23.0
Dengue,2012-11-04,28.0
Dengue,2012-11-11,23.0
Dengue,2012-11-18,27.0
Dengue,2012-11-25,20.0
Dengue,2012-12-02,24.0
Dengue,2012-12-09,35.0
Dengue,2012-12-16,30.0
Dengue,2012-12-23,36.0
Dengue,2012-12-30,49.0
Dengue,2013-01-06,65.0
Dengue,2013-01-13,93.0
Dengue,2013-01-20,108.0
Dengue,2013-01-27,120.0
Dengue,2013-02-03,123.0
Dengue,2013-02-10,126.0
Dengue,2013-02-17,118.0
Dengue,2013-02-24,130.0
Dengue,2013-03-03,146.0
Dengue,2013-03-10,122.0
Dengue,2013-03-17,128.0
