anio,semana_epi,casos,temp_media_c_lag1,temp_media_c_lag2,temp_media_c_lag3,temp_media_c_lag4,precipitacion_mm_lag1,precipitacion_mm_lag2,precipitacion_mm_lag3,precipitacion_mm_lag4,humedad_media_pct_lag1,humedad_media_pct_lag2,humedad_media_pct_lag3,humedad_media_pct_lag4,casos_lag1,casos_lag2,casos_lag4
2010,1,223,21.2,,,,,,,,,,,,,,
2010,2,259,20.97142857,21.2,,,19.2,,,,84.57142857,,,,223,,
2010,3,295,21.35714286,20.97142857,21.2,,25.9,19.2,,,84.85714286,84.57142857,,,259,223,
2010,4,338,21.38571429,21.35714286,20.97142857,21.2,22.5,25.9,19.2,,85.71428571,84.85714286,84.57142857,,295,259,
2010,5,428,21.57142857,21.38571429,21.35714286,20.97142857,23.1,22.5,25.9,19.2,85.28571429,85.71428571,84.85714286,84.57142857,338,295,223
2010,6,540,22.38571429,21.57142857,21.38571429,21.35714286,153,23.1,22.5,25.9,84.85714286,85.28571429,85.71428571,84.85714286,428,338,259
2010,7,549,21.61428571,22.38571429,21.57142857,21.38571429,67.3,153,23.1,22.5,85.71428571,84.85714286,85.28571429,85.71428571,540,428,295
2010,8,485,21.85714286,21.61428571,22.38571429,21.57142857,98.4,67.3,153,23.1,86,85.71428571,84.85714286,85.28571429,549,540,338
2010,9,502,21.44285714,21.85714286,21.61428571,22.38571429,106.1,98.4,67.3,153,85.28571429,86,85.71428571,84.85714286,485,549,428
2010,10,453,21.88571429,21.44285714,21.85714286,21.61428571,20,106.1,98.4,67.3,84.85714286,85.28571429,86,85.71428571,502,485,540
2010,11,424,22.1,21.88571429,21.44285714,21.85714286,24.9,20,106.1,98.4,84.42857143,84.85714286,85.28571429,86,453,502,549
2010,12,349,21.64285714,22.1,21.88571429,21.44285714,24.2,24.9,20,106.1,85.14285714,84.42857143,84.85714286,85.28571429,424,453,485
2010,13,293,22.08571429,21.64285714,22.1,21.88571429,38.1,24.2,24.9,20,83.28571429,85.14285714,84.42857143,84.85714286,349,424,502
2010,14,348,21.85714286,22.08571429,21.64285714,22.1,96,38.1,24.2,24.9,85.42857143,83.28571429,85.14285714,84.42857143,293,349,453
2010,15,291,21.64285714,21.85714286,22.08571429,21.64285714,38.6,96,38.1,24.2,84,85.42857143,83.28571429,85.14285714,348,293,424
2010,16,272,21.52857143,21.64285714,21.85714286,22.08571429,120.9,38.6,96,38.1,82.71428571,84,85.42857143,83.28571429,291,348,349
2010,17,206,22.24285714,21.52857143,21.64285714,21.85714286,126.2,120.9,38.6,96,85.14285714,82.71428571,84,85.42857143,272,291,293
2010,18,231,21.15714286,22.24285714,21.52857143,21.64285714,129.3,126.2,120.9,38.6,87.28571429,85.14285714,82.71428571,84,206,272,348
2010,19,209,21.55714286,21.15714286,22.24285714,21.52857143,66.1,129.3,126.2,120.9,85,87.28571429,85.14285714,82.71428571,231,206,291
2010,20,216,22.41428571,21.55714286,21.15714286,22.24285714,9.2,66.1,129.3,126.2,83.14285714,85,87.28571429,85.14285714,209,231,272
2010,21,190,21.97142857,22.41428571,21.55714286,21.15714286,53.9,9.2,66.1,129.3,84.71428571,83.14285714,85,87.28571429,216,209,206
2010,22,231,21.4,21.97142857,22.41428571,21.55714286,35.2,53.9,9.2,66.1,81.57142857,84.71428571,83.14285714,85,190,216,231
2010,23,204,21.72857143,21.4,21.97142857,22.41428571,13.2,35.2,53.9,9.2,83.14285714,81.57142857,84.71428571,83.14285714,231,190,209
2010,24,203,21.31428571,21.72857143,21.4,21.97142857,31.1,13.2,35.2,53.9,82.85714286,83.14285714,81.57142857,84.71428571,204,231,216
2010,25,196,20.52857143,21.31428571,21.72857143,21.4,82.2,31.1,13.2,35.2,86,82.85714286,83.14285714,81.57142857,203,204,190
2010,26,153,21.24285714,20.52857143,21.31428571,21.72857143,30,82.2,31.1,13.2,82.71428571,86,82.85714286,83.14285714,196,203,231
2010,27,173,21.05714286,21.24285714,20.52857143,21.31428571,28.3,30,82.2,31.1,83.42857143,82.71428571,86,82.85714286,153,196,204
2010,28,159,20.52857143,21.05714286,21.24285714,20.52857143,54.9,28.3,30,82.2,86.28571429,83.42857143,82.71428571,86,173,153,203
2010,29,172,20.54285714,20.52857143,21.05714286,21.24285714,70.8,54.9,28.3,30,85.57142857,86.28571429,83.42857143,82.71428571,159,173,196
2010,30,153,21.04285714,20.54285714,20.52857143,21.05714286,12.4,70.8,54.9,28.3,83,85.57142857,86.28571429,83.42857143,172,159,153
2010,31,164,20.64285714,21.04285714,20.54285714,20.52857143,45.7,12.4,70.8,54.9,85.28571429,83,85.57142857,86.28571429,153,172,173
2010,32,126,20.98571429,20.64285714,21.04285714,20.54285714,56.7,45.7,12.4,70.8,84.28571429,85.28571429,83,85.57142857,164,153,159
